owm_city_name,owm_country
Aba,NG
Aba,HU
Abalak,NE
Abalak,RU
Abbeville,US
Abbeville,FR
Abbotsford,US
Abbotsford,CA
Aberdeen,GB
Aberdeen,US
Abingdon,GB
Abingdon,US
Abram,US
Abram,RO
Abram,GB
Acton,US
Acton,GB
Adamstown,PN
Adamstown,US
Adelaide,ZA
Adelaide,AU
Adra,IN
Adra,ES
Agno,PH
Agno,CH
Agua Dulce,US
Agua Dulce,MX
Agua Fria,US
Agua Fria,HN
Aguada,PH
Aguada,PR
Aguadulce,ES
Aguadulce,PA
Aguilar,ES
Aguilar,PH
Aguilares,AR
Aguilares,SV
Airdrie,CA
Airdrie,GB
Akko,IL
Akko,Nigeria
Aksakovo,RU
Aksakovo,BG
Aksu,TR
Aksu,KZ
Aksu,CN
Al Aziziyah,IQ
Al Aziziyah,LY
Al Bayda,YE
Al Bayda,LY
Al Jafr,SA
Al Jafr,JO
Al Jizah,EG
Al Jizah,JO
Al Qurayn,SA
Al Qurayn,EG
Al Qusayr,SY
Al Qusayr,EG
Alameda,ES
Alameda,US
Alamo,US
Alamo,MX
Albany,AU
Albany,US
Albertville,US
Albertville,FR
Albion,MU
Albion,US
Alburquerque,PH
Alburquerque,ES
Alcala,PH
Alcala,CO
Alcantara,BR
Alcantara,PH
Alcoy,PH
Alcoy,ES
Aldan,US
Aldan,RU
Aleksandrow,PL
Aleksandrow,RU
Alenquer,PT
Alenquer,BR
Alexandria,BR
Alexandria,RO
Alexandria,EG
Alexandria,US
Alexandria,JM
Alexandria,GB
Algarrobo,ES
Algarrobo,CO
Algeciras,ES
Algeciras,PH
Algeciras,CO
Alhandra,PT
Alhandra,BR
Aliaga,TR
Aliaga,PH
Alicante,ES
Alicante,PH
Alice,ZA
Alice,US
Alipur,IN
Alipur,PK
Allen,AR
Allen,US
Allen,PH
Alma,CA
Alma,US
Almeirim,PT
Almeirim,BR
Almenara,ES
Almenara,BR
Almeria,PH
Almeria,ES
Alta,NO
Alta,SE
Altamira,CO
Altamira,MX
Altamira,BR
Altamira,DO
Altay,KZ
Altay,CN
Altdorf,DE
Altdorf,CH
Altendorf,DE
Altendorf,CH
Alton,GB
Alton,US
Altona,CA
Altona,DE
Altos,PY
Altos,BR
Alva,GB
Alva,US
Alvarado,CO
Alvarado,US
Alvarado,MX
Amaga,PH
Amaga,CO
Amalfi,IT
Amalfi,CO
Amarante,PT
Amarante,BR
Amelia,IT
Amelia,US
Ames,ES
Ames,US
Amesbury,US
Amesbury,GB
Amherst,CA
Amherst,US
Amstetten,DE
Amstetten,AT
Anahuac,MX
Anahuac,US
Anda,PH
Anda,CN
Andover,GB
Andover,US
Angostura,MX
Angostura,CO
Anna,RU
Anna,US
Anna,ES
Anta,PE
Anta,PT
Anta,IN
Antas,PT
Antas,ES
Antequera,ES
Antequera,PY
Antioch,TR
Antioch,US
Anyang,KR
Anyang,CN
Apia,CO
Apia,WS
Aquino,IT
Aquino,PH
Aral,CN
Aral,KZ
Arani,BO
Arani,IN
Ararat,AU
Ararat,AM
Arauco,AR
Arauco,CL
Arcade,IT
Arcade,US
Archidona,EC
Archidona,ES
Arcola,US
Arcola,IT
Arcos,PT
Arcos,BR
Ardon,CH
Ardon,RU
Ares,BR
Ares,ES
Ares,FR
Argo,SD
Argo,US
Arjona,CO
Arjona,ES
Armadale,GB
Armadale,AU
Armavir,AM
Armavir,RU
Armenia,PH
Armenia,CO
Armenia,SV
Armstrong,CA
Armstrong,AR
Arnold,GB
Arnold,US
Arona,IT
Arona,ES
Arroyo,PR
Arroyo,ES
Arta,DJ
Arta,ES
Arta,GR
Arundel,US
Arundel,GB
As,NO
As,CZ
As,BE
Asadabad,IR
Asadabad,AF
Asaka,UZ
Asaka,JP
Ash Shamiyah,IQ
Ash Shamiyah,KW
Ashbourne,IE
Ashbourne,GB
Ashburton,AU
Ashburton,GB
Ashford,GB
Ashford,US
Astara,IR
Astara,AZ
Asten,NL
Asten,AT
Astorga,BR
Astorga,PH
Astorga,ES
Astrakhan,KZ
Astrakhan,RU
Athens,US
Athens,GR
Atherton,US
Atherton,GB
Atherton,AU
Atlantis,ZA
Atlantis,US
Augusta,US
Augusta,IT
Aurora,BR
Aurora,US
Aurora,PH
Avion,FR
Avion,ES
Avon,FR
Avon,US
Aya,RU
Aya,PH
Ayr,AU
Ayr,GB
Az Zarqa,JO
Az Zarqa,EG
Azagra,ES
Azagra,PH
Babadag,TR
Babadag,RO
Babana,RO
Babana,NG
Baden,FR
Baden,AT
Baden,CH
Baden,US
Badin,US
Badin,PK
Bagan,PH
Bagan,RU
Bais,PH
Bais,FR
Bajna,IN
Bajna,HU
Bala,GB
Bala,RO
Bala,PS
Balaclava,JM
Balaclava,AU
Balan,RO
Balan,FR
Bali,CM
Bali,IN
Balila,JO
Balila,PH
Ballina,AU
Ballina,IE
Bamberg,US
Bamberg,DE
Bandon,US
Bandon,IE
Banff,CA
Banff,GB
Banga,IN
Banga,PH
Bangar,PH
Bangar,BN
Bangor,US
Bangor,GB
Bangui,PH
Bangui,CF
Bani,DO
Bani,PH
Banos,EC
Banos,PH
Bar,ME
Bar,UA
Bara,RO
Bara,SE
Bara,NG
Baracoa,CU
Baracoa,HN
Baran,BY
Baran,IN
Barberton,ZA
Barberton,US
Barby,FR
Barby,DE
Barcarena,BR
Barcarena,PT
Barcelona,VE
Barcelona,ES
Barcelona,PH
Barcelos,PT
Barcelos,BR
Barda,RU
Barda,AZ
Bari,IN
Bari,IT
Baro,PH
Baro,NG
Barra,GM
Barra,PH
Barra,BR
Barrhead,GB
Barrhead,CA
Barsana,RO
Barsana,IN
Basing,GB
Basing,PH
Batalha,BR
Batalha,PT
Batan,PH
Batan,CR
Bath,US
Bath,GB
Bath,JM
Bathurst,CA
Bathurst,AU
Batu,ID
Batu,PH
Baud,PH
Baud,FR
Bayan,CN
Bayan,KW
Bayeux,BR
Bayeux,FR
Bayonne,US
Bayonne,FR
Beaconsfield,GB
Beaconsfield,CA
Beaufort,FR
Beaufort,MY
Beaufort,US
Beaumont,US
Beaumont,FR
Beaumont,BE
Beaumont,CA
Beaumont,AU
Becerril,PH
Becerril,CO
Bedford,GB
Bedford,CA
Bedford,US
Bel Air,US
Bel Air,MU
Bela,IN
Bela,PK
Belalcazar,ES
Belalcazar,CO
Belaya,UA
Belaya,RU
Belen,NI
Belen,UY
Belen,TR
Belen,CR
Belen,CO
Belen,MX
Belen,US
Belfast,US
Belfast,ZA
Belfast,GB
Belgrade,US
Belgrade,RS
Bella Vista,AR
Bella Vista,US
Bella Vista,PY
Bellavista,MX
Bellavista,PE
Belleville,US
Belleville,CA
Belleville,FR
Bellevue,CH
Bellevue,US
Belmont,US
Belmont,GB
Belmonte,BR
Belmonte,ES
Beloeil,BE
Beloeil,CA
Belovo,RU
Belovo,BG
Beloye,UA
Beloye,RU
Belz,UA
Belz,FR
Benavente,ES
Benavente,PT
Benson,US
Benson,GB
Bentley,AU
Bentley,GB
Bera,BD
Bera,ES
Berea,ZA
Berea,US
Berezovo,RU
Berezovo,UA
Berg,NL
Berg,DE
Berg,CH
Berga,DE
Berga,ES
Bergen,NO
Bergen,DE
Bergheim,AT
Bergheim,DE
Beringen,BE
Beringen,CH
Berkeley,AU
Berkeley,GB
Berkeley,US
Berlin,SV
Berlin,US
Berlin,DE
Bertrange,LU
Bertrange,FR
Berwick,CA
Berwick,US
Betanzos,ES
Betanzos,BO
Bethesda,US
Bethesda,GB
Bethlehem,ZA
Bethlehem,PS
Bethlehem,US
Beverley,GB
Beverley,AU
Bexley,US
Bexley,AU
Bharatpur,NP
Bharatpur,IN
Biga,PH
Biga,TR
Biggar,GB
Biggar,CA
Bijela,ME
Bijela,BA
Birmingham,GB
Birmingham,US
Birr,CH
Birr,IE
Bissau,IN
Bissau,GW
Black Diamond,US
Black Diamond,CA
Blackburn,AU
Blackburn,GB
Blackheath,AU
Blackheath,GB
Blackwell,US
Blackwell,GB
Blackwood,US
Blackwood,GB
Blackwood,AU
Blairgowrie,GB
Blairgowrie,AU
Bluefields,JM
Bluefields,NI
Bo,SL
Bo,NO
Bocholt,BE
Bocholt,DE
Bogo,CM
Bogo,PH
Bogota,CO
Bogota,US
Bolivar,US
Bolivar,CO
Bolton,GB
Bolton,US
Bonanza,NI
Bonanza,US
Bondo,KE
Bondo,CD
Bonga,ET
Bonga,PH
Bonito,IT
Bonito,BR
Bono,IT
Bono,US
Boos,FR
Boos,DE
Bor,CZ
Bor,RS
Bor,SS
Bor,RU
Bor,TR
Borba,PT
Borba,BR
Borger,NL
Borger,US
Borger,DE
Borgo,FR
Borgo,IT
Borovo,BG
Borovo,HR
Bosingen,CH
Bosingen,DE
Boston,PH
Boston,US
Boston,GB
Bouafle,FR
Bouafle,CI
Boulder,AU
Boulder,US
Bourg,FR
Bourg,US
Bousse,BF
Bousse,FR
Boves,IT
Boves,FR
Bowdon,GB
Bowdon,US
Bradford,US
Bradford,GB
Braganca,BR
Braganca,PT
Braintree,US
Braintree,GB
Brampton,CA
Brampton,GB
Brandon,CA
Brandon,GB
Brandon,US
Breitenbach,DE
Breitenbach,CH
Bremen,US
Bremen,DE
Brentwood,GB
Brentwood,US
Brest,FR
Brest,BY
Bridgetown,AU
Bridgetown,US
Bridgetown,BB
Bridgewater,US
Bridgewater,AU
Bridgewater,CA
Brielle,US
Brielle,NL
Brighton,GB
Brighton,US
Brighton,AU
Brisbane,US
Brisbane,AU
Bristol,US
Bristol,GB
Broadway,US
Broadway,GB
Brody,UA
Brody,PL
Bronte,AU
Bronte,IT
Brookfield,US
Brookfield,AU
Brooklyn,NZ
Brooklyn,US
Brooks,US
Brooks,CA
Brunswick,US
Brunswick,AU
Buchanan,LR
Buchanan,US
Buckingham,US
Buckingham,GB
Buckley,GB
Buckley,US
Buda,US
Buda,RO
Buena Vista,BO
Buena Vista,PA
Buena Vista,PR
Buena Vista,US
Buenaventura,MX
Buenaventura,CO
Buenavista,CO
Buenavista,MX
Buenavista,PH
Buenos Aires,MX
Buenos Aires,AR
Buenos Aires,CO
Buenos Aires,CR
Buenos Aires,PE
Buga,PH
Buga,NG
Buga,CO
Buhl,US
Buhl,FR
Buhl,DE
Buk,PL
Buk,HU
Bunol,ES
Bunol,PH
Burgdorf,CH
Burgdorf,DE
Burgos,PH
Burgos,ES
Burla,RU
Burla,IN
Burlington,US
Burlington,CA
Burton,US
Burton,GB
Bury,GB
Bury,FR
Butterworth,ZA
Butterworth,MY
Buxton,US
Buxton,GB
Cabanas,CU
Cabanas,GT
Cabano,PH
Cabano,CA
Cabra,ES
Cabra,PH
Caceres,ES
Caceres,CO
Cadillac,FR
Cadillac,US
Cadiz,US
Cadiz,PH
Cadiz,ES
Cairo,US
Cairo,EG
Cajamarca,CO
Cajamarca,PE
Calais,US
Calais,FR
Calarasi,RO
Calarasi,MD
Calvi,IT
Calvi,FR
Camargo,MX
Camargo,BO
Camargo,ES
Camas,US
Camas,ES
Camas,TR
Cambridge,CA
Cambridge,NZ
Cambridge,JM
Cambridge,US
Cambridge,GB
Campana,IT
Campana,AR
Campanario,PT
Campanario,ES
Campbelltown,AU
Campbelltown,US
Campo,US
Campo,PT
Campo Grande,BR
Campo Grande,AR
Campo Largo,BR
Campo Largo,AR
Campo Maior,PT
Campo Maior,BR
Canals,AR
Canals,ES
Candelaria,AR
Candelaria,PR
Candelaria,BR
Candelaria,CU
Candelaria,ES
Candelaria,PH
Candelaria,CO
Canoas,BR
Canoas,CR
Cantagallo,CO
Cantagallo,IT
Cantanhede,PT
Cantanhede,BR
Cantel,PH
Cantel,GT
Canterbury,GB
Canterbury,US
Canterbury,AU
Cantoria,PH
Cantoria,ES
Capitanejo,CO
Capitanejo,PR
Caracal,PH
Caracal,RO
Cardenas,CU
Cardenas,MX
Cardiff,GB
Cardiff,AU
Cardona,ES
Cardona,UY
Cardona,PH
Carignan,CA
Carignan,FR
Carlisle,GB
Carlisle,US
Carmelo,UY
Carmelo,PH
Carmona,ES
Carmona,PH
Carnarvon,ZA
Carnarvon,AU
Carnegie,AU
Carnegie,US
Carolina,PR
Carolina,CO
Carolina,BR
Cartagena,ES
Cartagena,CL
Cartagena,CO
Cartagena,PH
Cartago,CO
Cartago,CR
Carthage,TN
Carthage,US
Castillo,DO
Castillo,PH
Castries,LC
Castries,FR
Castro,IT
Castro,ES
Castro,BR
Castro,CL
Catalina,RO
Catalina,US
Catarina,GT
Catarina,NI
Caux,CH
Caux,FR
Cayenne,FR
Cayenne,GF
Cerano,MX
Cerano,IT
Ceres,AR
Ceres,BR
Ceres,ZA
Ceres,US
Cerna,HR
Cerna,RO
Cerritos,US
Cerritos,MX
Cerro Azul,MX
Cerro Azul,AR
Cervantes,PH
Cervantes,AR
Chalais,CH
Chalais,FR
Cham,CH
Cham,DE
Chambly,FR
Chambly,CA
Chandler,CA
Chandler,US
Chantilly,US
Chantilly,FR
Chaparral,US
Chaparral,CO
Charleroi,US
Charleroi,BE
Charlestown,US
Charlestown,AU
Chatham,GB
Chatham,US
Chatillon,FR
Chatillon,IT
Chelmsford,GB
Chelmsford,US
Chelsea,US
Chelsea,GB
Cheltenham,AU
Cheltenham,GB
Cherryville,IE
Cherryville,US
Chester,GB
Chester,US
Chesterfield,GB
Chesterfield,US
